ID;Rider;Nr;Team;Country
1;Aleix Espargarò;41;Aprilia Racing Team Gresini;Spain
2;Alex Rins;42;Team Suzuki Ecstar;Spain
3;Alvaro Bautista;19;Angel Nieto Team;Spain
4;Andrea Dovizioso;4;Ducati Team;Italy
5;Andrea Iannone;29;Team Suzuki Ecstar;Italy
6;Bradley Smith;38;Red Bull KTM Factory Racing;United Kingdom
7;Cal Crutchlow;35;LCR Honda;United Kingdom
8;Daniel Pedrosa;26;Repsol Honda Team;Spain
9;Danilo Petrucci;9;Alma Pramac Racing;Italy
10;Franco Morbidelli;21;EG 0,0 Marc VDS;Italy
11;Hafizh Syahrin;55;Monster Yamaha Tech 3;Malaysia
12;Jack Miller;43;Alma Pramac Racing;Australia
13;Johann Zarco;5;Monster Yamaha Tech 3;France
14;Jorge Lorenzo;99;Ducati Team;Spain
15;Karel Abraham;17;Angel Nieto Team;Czech Republic
16;Marc Marquez;93;Repsol Honda Team;Spain
17;Maverick Vinales;25;Movistar Yamaha MotoGP;Spain
18;Pol Espargarò;44;Red Bull KTM Factory Racing;Spain
19;Scott Redding;45;Aprilia Racing Team Gresini;United Kingdom
20;Takaaki Nakagami;30;LCR Honda;Japan
21;Thomas Luthi;12;EG 0,0 Marc VDS;Switzerland
22;Tito Rabat;53;Reale Avintia Racing;Spain
23;Valentino Rossi;46;Movistar Yamaha MotoGP;Italy
24;Xavier Simeon;10;Reale Avintia Racing;Belgium
25;Mika Kallio;36;KTM;Finland
